iter	Passed	Remaining
0	49	49239
1	49	24897
2	50	16767
3	50	12653
4	51	10182
5	51	8556
6	51	7371
7	52	6529
8	53	5836
9	53	5279
10	53	4837
11	54	4477
12	54	4161
13	55	3885
14	55	3653
15	56	3450
16	56	3269
17	56	3108
18	57	2969
19	57	2838
20	58	2721
21	58	2615
22	59	2517
23	59	2429
24	60	2357
25	61	2286
26	61	2222
27	62	2162
28	62	2102
29	63	2043
30	63	1988
31	64	1939
32	64	1894
33	65	1849
34	65	1806
35	66	1769
36	66	1730
37	66	1694
38	67	1660
39	67	1629
40	68	1598
41	68	1569
42	69	1541
43	69	1515
44	70	1491
45	70	1465
46	71	1442
47	71	1422
48	72	1402
49	73	1394
50	73	1374
51	74	1356
52	74	1338
53	75	1320
54	76	1306
55	76	1290
56	77	1274
57	77	1257
58	77	1241
59	78	1226
60	78	1211
61	79	1197
62	79	1184
63	80	1170
64	80	1158
65	81	1146
66	81	1133
67	81	1118
68	82	1106
69	82	1094
70	82	1083
71	83	1071
72	83	1060
73	83	1050
74	84	1040
75	84	1030
76	85	1023
77	86	1016
78	86	1011
79	87	1004
80	87	998
81	88	990
82	88	982
83	89	974
84	89	965
85	90	959
86	90	950
87	91	944
88	91	937
89	91	929
90	92	923
91	93	917
92	93	911
93	94	906
94	94	900
95	94	894
96	95	889
97	95	882
98	96	877
99	96	872
100	97	867
101	97	859
102	98	859
103	99	859
104	100	856
105	100	851
106	101	846
107	101	841
108	102	836
109	102	833
110	103	829
111	104	825
112	104	820
113	105	816
114	105	812
115	105	806
116	106	803
117	106	799
118	107	793
119	107	789
120	108	786
121	108	782
122	108	776
123	109	773
124	109	769
125	110	765
126	110	762
127	111	758
128	111	754
129	113	756
130	113	753
131	114	750
132	114	747
133	115	743
134	115	740
135	116	737
136	116	734
137	116	730
138	117	727
139	117	724
140	118	721
141	118	718
142	119	715
143	119	712
144	120	709
145	120	706
146	121	703
147	121	701
148	122	698
149	122	696
150	123	693
151	124	692
152	125	695
153	126	693
154	127	693
155	127	690
156	128	688
157	128	685
158	128	682
159	129	679
160	129	676
161	130	674
162	130	671
163	131	669
164	131	666
165	132	663
166	132	660
167	132	658
168	133	655
169	133	653
170	134	650
171	134	648
172	135	646
173	135	644
174	136	642
175	136	641
176	137	640
177	138	639
178	138	637
179	139	635
180	139	632
181	140	629
182	140	627
183	141	625
184	141	623
185	141	621
186	142	618
187	142	616
188	143	614
189	143	611
190	144	610
191	144	608
192	145	606
193	145	604
194	145	601
195	146	599
196	146	597
197	147	595
198	147	593
199	147	591
200	148	589
201	148	588
202	149	587
203	150	585
204	150	584
205	151	582
206	151	580
207	151	578
208	152	576
209	152	574
210	153	572
211	153	570
212	154	569
213	154	567
214	154	565
215	155	563
216	155	561
217	155	559
218	156	557
219	156	555
220	157	553
221	157	551
222	157	550
223	158	548
224	158	546
225	159	544
226	159	543
227	159	541
228	160	539
229	160	537
230	161	536
231	161	534
232	161	533
233	162	531
234	162	530
235	163	529
236	164	529
237	164	527
238	165	526
239	165	525
240	166	523
241	166	522
242	167	520
243	167	519
244	168	517
245	168	516
246	168	514
247	169	513
248	169	511
249	170	510
250	170	508
251	171	508
252	171	506
253	171	505
254	172	503
255	172	502
256	173	500
257	173	499
258	174	498
259	174	496
260	175	496
261	175	495
262	176	494
263	177	493
264	177	493
265	178	492
266	178	490
267	179	489
268	179	488
269	180	487
270	180	485
271	180	484
272	181	482
273	181	481
274	182	480
275	182	479
276	183	478
277	183	476
278	183	475
279	184	474
280	184	473
281	185	472
282	185	470
283	186	469
284	186	468
285	188	470
286	189	470
287	189	469
288	190	468
289	190	467
290	191	465
291	191	464
292	192	463
293	192	462
294	192	460
295	193	459
296	193	458
297	193	456
298	194	455
299	194	454
300	195	453
301	195	451
302	195	450
303	196	449
304	196	448
305	197	447
306	197	446
307	198	445
308	198	444
309	199	442
310	199	441
311	199	440
312	200	439
313	200	438
314	201	438
315	202	437
316	202	437
317	203	436
318	204	435
319	204	434
320	205	433
321	205	432
322	205	431
323	206	430
324	206	429
325	207	428
326	207	427
327	208	426
328	208	425
329	209	424
330	209	423
331	210	422
332	210	421
333	211	420
334	211	419
335	212	418
336	212	417
337	212	416
338	213	416
339	213	415
340	214	414
341	215	413
342	215	413
343	216	412
344	216	411
345	217	410
346	217	409
347	218	408
348	218	407
349	219	406
350	219	405
351	219	404
352	220	403
353	220	402
354	221	401
355	221	400
356	222	400
357	222	399
358	222	397
359	223	397
360	223	396
361	224	395
362	224	394
363	225	393
364	225	392
365	226	391
366	226	390
367	226	389
368	227	388
369	228	388
370	228	387
371	229	386
372	229	386
373	230	385
374	230	384
375	230	383
376	231	382
377	231	381
378	232	380
379	232	379
380	233	378
381	233	377
382	233	376
383	234	375
384	234	375
385	235	374
386	235	373
387	236	372
388	236	371
389	237	370
390	237	370
391	238	369
392	238	368
393	238	367
394	239	366
395	239	365
396	240	365
397	241	364
398	241	363
399	242	363
400	242	362
401	242	361
402	243	360
403	243	359
404	244	358
405	244	357
406	244	356
407	245	356
408	245	355
409	246	354
410	246	353
411	247	352
